Company,Sector,Industry,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,datetime extracted
Ecolab Inc.,Basic Materials,Specialty Chemicals,USA,S&P 500,39.55,5.31,0.50%,288.80M,-0.14%,60.16B,37.10,18.48%,-30.06%,287.70M,6.81%,1.55B,4.91,0.85,88.00%,1.03%,16.65%,14.98B,4.02,1.80%,0.24%,0.71,6.09%,30.55,6.88,7.30%,190.50,5.91%,5.80,36.20,8.06%,18.00%,124.60 - 231.36,8.85%,1.88,55.64,6.20%,11.20%,-9.21%,1.00,0.89%,1.20,0.90%,41.70%,68.59%,4.43,50200,1.50,2.20%,13.60%,58.18,1.61% 2.26%,Yes,0.88,-0.90%,10.30%,0.17,209.54,Yes,0.76,Jul 28 BMO,34.50%,4.17M,210.06,2.80,3.70%,2.24%,9.69%,"702,336",0.25%,2020-07-25 16:25:46.619279
Edison International,Utilities,Utilities - Regulated Electric,USA,S&P 500,16.26,3.45,0.06%,377.94M,-0.60%,21.07B,12.24,3.39%,-0.11%,363.13M,3.03%,1.19B,12.51,1.17,88.60%,2.43%,-5.45%,12.31B,1.71,368.60%,2.28%,3.04,-27.17%,36.78,1.52,1.90%,69.86,-20.01%,3.55,15.76,1.30%,9.40%,43.63 - 78.93,-25.71%,2.55,-,-2.80%,6.40%,-29.03%,0.50,4.55%,0.70,-1.60%,61.30%,28.40%,1.64,12937,0.80,-1.20%,14.00%,50.20,2.52% 2.79%,Yes,1.60,-40.90%,9.70%,0.57,56.66,Yes,1.43,Jul 28 AMC,71.50%,2.90M,56.02,2.10,1.02%,-1.86%,-13.59%,"1,654,196",-1.13%,2020-07-25 16:25:46.619279
Edwards Lifesciences Corporation,Healthcare,Medical Devices,USA,S&P 500,44.77,1.75,0.20%,624.61M,5.42%,46.94B,36.65,30.72%,-26.96%,607.17M,15.77%,1.11B,4.18,0.17,89.06%,1.30%,4.88%,4.48B,10.47,43.20%,-5.07%,2.50,1.71%,6.25,12.50,18.40%,81.69,10.32%,1.72,45.52,10.71%,28.80%,51.51 - 82.55,0.47%,-,43.04,5.80%,21.70%,-5.35%,0.85,-,2.50,13.40%,74.40%,51.69%,2.17,13900,3.40,13.70%,27.40%,69.33,3.30% 2.86%,Yes,0.00,24.70%,24.70%,1.72,77.32,Yes,0.15,Jul 23 AMC,0.00%,3.17M,78.13,2.10,10.35%,9.27%,6.15%,"5,452,351",1.05%,2020-07-25 16:25:46.619279
Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,USA,S&P 500,13.20,10.25,0.20%,290.00M,-2.22%,38.97B,23.60,13.69%,-44.03%,287.53M,3.34%,3.04B,1.07,0.76,93.60%,1.91%,16.28%,5.54B,7.04,209.40%,-0.55%,1.88,20.40%,25.73,5.26,28.50%,132.84,51.68%,19.90,6.80,12.33%,42.90%,85.69 - 142.31,25.79%,-,23.52,30.80%,35.20%,-4.97%,0.93,-,2.40,4.20%,75.30%,57.82%,3.39,9800,2.40,12.00%,26.10%,53.52,2.66% 2.51%,Yes,0.13,107.50%,54.90%,0.46,135.36,Yes,0.05,Jul 30 AMC,0.00%,2.93M,135.24,2.10,-0.59%,5.94%,22.70%,"1,349,014",-0.09%,2020-07-25 16:25:46.619279
Emerson Electric Co.,Industrials,Specialty Industrial Machinery,USA,S&P 500,17.24,3.68,0.40%,607.40M,-0.27%,37.62B,19.81,5.65%,72.62%,593.60M,6.26%,2.26B,19.07,0.60,74.40%,1.27%,17.73%,17.97B,2.09,17.20%,0.00%,2.28,-17.39%,12.38,5.12,10.20%,62.58,-5.33%,4.35,14.57,0.90%,26.30%,37.75 - 78.38,-16.92%,2.00,26.80,3.50%,17.90%,-19.16%,1.51,3.16%,0.80,0.70%,42.60%,67.84%,1.49,88000,1.00,-8.90%,16.00%,54.52,1.67% 2.19%,Yes,1.02,0.60%,12.00%,0.43,64.01,Yes,0.53,Aug 04 BMO,55.90%,3.30M,63.36,2.50,2.40%,3.74%,-2.10%,"1,417,572",-1.02%,2020-07-25 16:25:46.619279
Entergy Corporation,Utilities,Utilities - Diversified,USA,S&P 500,18.49,5.55,0.30%,199.79M,2.21%,20.12B,17.32,6.50%,-36.64%,199.03M,9.79%,1.11B,2.98,1.25,88.50%,0.88%,5.26%,10.70B,1.88,36.10%,-0.03%,1.30,-21.47%,51.17,2.01,2.20%,114.38,-1.31%,7.47,13.74,6.20%,11.00%,75.19 - 135.55,-14.31%,3.72,9.42,3.80%,5.20%,-24.26%,0.57,3.62%,0.50,-2.70%,88.10%,36.53%,2.85,13635,0.70,-7.00%,14.10%,60.05,2.91% 2.73%,Yes,2.09,-55.10%,10.30%,0.65,104.02,Yes,1.78,Jul 29 BMO,65.90%,1.35M,102.66,2.20,5.67%,4.55%,-6.63%,"881,012",-1.31%,2020-07-25 16:25:46.619279
"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,S&P 500,13.49,3.64,0.30%,582.05M,3.99%,28.94B,46.93,135.89%,0.00%,579.23M,0.18%,2.11B,-,-0.05,90.10%,1.46%,13.10%,17.90B,1.62,-18.80%,0.05%,1.79,-38.58%,37.12,1.32,5.70%,64.27,-42.62%,4.93,9.96,-5.56%,9.90%,27.00 - 89.54,-41.45%,1.50,3.54,-2.40%,10.80%,-45.23%,1.95,3.06%,1.40,-0.30%,56.10%,81.63%,2.11,2900,1.50,15.70%,16.10%,49.46,3.43% 4.13%,Yes,0.24,-98.50%,11.80%,0.65,48.85,Yes,0.22,Aug 06 AMC,33.90%,4.70M,49.04,2.00,1.35%,-3.99%,-19.52%,"3,045,294",0.39%,2020-07-25 16:25:46.619279
Equifax Inc.,Industrials,Consulting Services,USA,S&P 500,75.81,2.21,0.40%,121.30M,0.22%,20.10B,29.06,10.27%,-3.03%,120.88M,0.60%,269.70M,151.32,1.30,97.20%,1.90%,27.20%,3.62B,5.55,-233.60%,0.07%,2.43,8.54%,19.67,8.50,3.50%,174.75,21.49%,3.08,54.33,0.50%,10.80%,103.01 - 181.76,19.30%,1.56,-,-25.50%,-5.00%,-8.03%,1.18,0.93%,1.00,7.60%,57.20%,62.28%,4.88,11200,1.00,13.20%,11.60%,51.84,3.28% 2.47%,Yes,1.47,119.90%,7.50%,1.38,176.64,Yes,1.47,Jul 22 AMC,70.00%,949.24K,167.16,2.60,-0.43%,1.82%,14.44%,"1,313,312",-5.37%,2020-07-25 16:25:46.619279
"Equinix, Inc. (REIT)",Real Estate,REIT - Specialty,USA,S&P 500,124.20,5.94,0.30%,85.55M,1.82%,64.36B,86.20,30.40%,-12.55%,85.46M,6.93%,508.20M,5.57,1.63,94.20%,1.48%,7.63%,5.64B,11.40,33.90%,-0.01%,2.42,24.57%,101.34,7.28,2.20%,733.53,50.34%,13.72,53.76,22.30%,5.80%,477.87 - 744.46,26.33%,10.64,-,26.50%,4.50%,-0.95%,0.40,1.44%,1.30,17.90%,49.10%,54.31%,16.05,8378,1.30,6.00%,19.20%,61.48,1.74% 2.31%,Yes,1.35,-4.10%,9.00%,0.48,736.69,Yes,1.29,Jul 29 AMC,164.70%,521.87K,737.39,1.80,2.91%,6.10%,18.59%,"251,419",0.10%,2020-07-25 16:25:46.619279
Equity Residential,Real Estate,REIT - Residential,USA,S&P 500,17.29,3.14,0.10%,371.58M,-4.63%,20.31B,38.90,-14.66%,-28.78%,366.13M,-5.46%,1.17B,2.84,0.36,95.90%,1.43%,-15.08%,2.72B,7.46,46.70%,-0.07%,1.72,-34.34%,28.24,1.92,5.60%,65.78,-30.42%,0.22,246.74,6.10%,11.40%,49.62 - 89.55,-32.85%,2.41,33.03,7.00%,7.00%,-39.32%,0.62,4.44%,-,0.70%,66.30%,9.51%,1.60,2700,-,3.00%,57.60%,36.74,3.04% 2.64%,Yes,0.82,195.20%,43.10%,1.04,54.83,Yes,0.82,Jul 28 AMC,71.90%,3.05M,54.34,3.00,-5.30%,-8.75%,-25.69%,"3,178,821",-0.89%,2020-07-25 16:25:46.619279
"Essex Property Trust, Inc.",Real Estate,REIT - Residential,USA,S&P 500,22.27,9.62,0.10%,66.04M,-4.06%,14.08B,46.78,-42.79%,-40.95%,63.70M,-5.99%,635.40M,2.82,1.08,98.70%,1.10%,-11.38%,1.50B,9.41,12.80%,-0.16%,1.49,-30.81%,94.30,2.27,4.90%,267.61,-28.29%,4.14,51.77,7.90%,10.20%,175.81 - 334.17,-28.83%,8.31,41.06,26.40%,-,-35.92%,0.67,3.88%,-,8.50%,72.80%,21.79%,6.39,1822,-,10.20%,33.30%,35.99,3.08% 2.56%,Yes,1.04,163.50%,42.50%,0.62,216.33,Yes,1.04,Aug 03 AMC,81.00%,470.31K,214.12,2.60,-5.27%,-9.57%,-22.29%,"289,992",-1.02%,2020-07-25 16:25:46.619279
The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,USA,S&P 500,54.14,3.54,0.10%,360.20M,-3.16%,69.43B,36.00,19.15%,-40.94%,215.76M,2.13%,1.30B,9.99,-0.22,93.50%,1.18%,15.30%,15.45B,4.49,18.30%,0.33%,1.73,-6.62%,12.02,15.95,8.00%,195.95,1.17%,-,-,5.42%,29.20%,137.01 - 220.42,-7.16%,-,54.37,9.50%,23.10%,-13.01%,0.79,-,1.30,6.30%,76.60%,39.95%,4.06,48000,1.60,-10.70%,8.80%,47.42,1.69% 1.95%,Yes,1.43,-101.10%,8.40%,0.65,194.10,Yes,1.08,May 01 BMO,50.40%,1.47M,191.75,2.40,-0.04%,0.56%,1.55%,"961,477",-1.21%,2020-07-25 16:25:46.619279
"Evergy, Inc.",Utilities,Utilities - Regulated Electric,USA,S&P 500,23.55,2.72,0.20%,227.10M,1.33%,14.11B,19.89,5.50%,-3.56%,226.12M,8.50%,639.80M,6.04,0.68,85.00%,1.82%,9.49%,5.05B,2.80,11.60%,-0.30%,1.65,-10.24%,37.56,1.71,2.50%,65.33,5.74%,1.38,46.35,3.90%,7.40%,42.01 - 76.57,-1.58%,2.02,-,3.00%,5.90%,-16.34%,0.48,3.15%,0.50,14.60%,-,52.49%,1.55,4617,0.70,-8.20%,23.30%,62.26,2.19% 2.35%,Yes,1.22,-22.40%,12.70%,0.73,64.37,Yes,1.05,May 06 AMC,70.80%,2.50M,64.06,1.80,4.29%,5.25%,2.08%,"1,815,475",-0.48%,2020-07-25 16:25:46.619279
Eversource Energy,Utilities,Utilities - Regulated Electric,USA,S&P 500,31.44,2.85,0.20%,342.54M,1.87%,29.94B,23.03,6.47%,-6.53%,335.69M,8.57%,935.10M,5.05,0.78,80.00%,2.78%,3.36%,8.48B,3.53,-13.80%,-0.12%,5.22,-2.54%,39.90,2.24,2.30%,87.41,17.43%,0.14,631.70,6.23%,7.50%,60.69 - 99.42,5.18%,2.27,-,1.70%,4.70%,-10.00%,0.35,2.54%,0.70,1.90%,-,47.44%,2.17,8234,0.80,-1.90%,19.30%,66.69,2.83% 2.42%,Yes,1.19,3.70%,11.00%,0.51,90.03,Yes,1.09,May 07 BMO,75.80%,1.78M,89.48,2.40,4.77%,6.97%,5.70%,"910,272",-0.61%,2020-07-25 16:25:46.619279
"Everest Re Group, Ltd.",Financial,Insurance - Reinsurance,Bermuda,S&P 500,13.59,16.49,1.30%,40.20M,0.62%,8.98B,9.63,84.76%,-5.33%,29.56M,8.74%,663.80M,3.91,1.22,99.50%,2.49%,31.15%,8.27B,1.09,-33.00%,-0.20%,1.71,-19.23%,213.44,1.05,-,234.11,-12.33%,20.40,10.98,3.47%,-,157.32 - 294.31,-19.08%,6.20,-,-1.00%,10.70%,-23.89%,0.48,2.77%,-,7.20%,-,42.39%,6.38,1603,-,0.70%,-,62.86,2.39% 2.85%,Yes,0.08,-95.30%,-,0.68,223.06,Yes,0.07,Aug 05 AMC,-,430.56K,224.01,2.30,6.39%,7.98%,-4.84%,"294,235",0.43%,2020-07-25 16:25:46.619279
Exelon Corporation,Utilities,Utilities - Diversified,USA,S&P 500,11.91,3.17,0.20%,975.00M,-4.05%,35.58B,12.92,-0.78%,0.00%,971.91M,3.65%,3.10B,-,0.44,80.90%,0.96%,3.28%,33.71B,1.06,45.70%,-0.08%,1.53,-20.80%,33.31,1.13,2.50%,47.13,-18.06%,1.55,24.42,-3.60%,9.70%,29.28 - 50.54,-17.09%,1.53,-,9.90%,5.10%,-25.21%,0.44,4.05%,0.90,4.70%,59.10%,29.10%,1.03,32713,1.10,-7.70%,13.00%,49.81,2.86% 2.67%,Yes,1.23,17.20%,9.20%,0.88,38.64,Yes,1.08,Aug 04 BMO,46.30%,6.13M,37.80,1.90,1.02%,0.01%,-9.46%,"5,409,271",-2.17%,2020-07-25 16:25:46.619279
"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,S&P 500,-,-4.80,0.50%,140.82M,-3.63%,11.84B,27.89,151.00%,-15.39%,134.72M,3.05%,-633.00M,-,-3.41,-,10.37%,25.76%,11.67B,1.02,42.00%,0.47%,3.20,-25.34%,16.12,5.19,-3.00%,96.52,-39.43%,28.97,2.89,-,-17.20%,40.76 - 144.00,-22.58%,-,-,4.70%,7.90%,-41.86%,1.58,-,0.80,15.90%,80.50%,105.40%,3.86,25400,0.80,-15.30%,-2.20%,48.39,3.08% 4.52%,Yes,3.01,-,-5.40%,0.57,85.17,Yes,2.68,Jul 30 AMC,-,4.36M,83.72,2.60,-1.03%,1.15%,-10.68%,"2,500,524",-1.70%,2020-07-25 16:25:46.619279
"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,USA,S&P 500,24.25,3.31,0.20%,168.74M,0.70%,13.26B,22.81,14.12%,-8.02%,165.34M,8.92%,573.00M,5.47,0.71,96.90%,1.71%,11.48%,8.06B,1.65,-5.40%,0.22%,2.24,7.87%,12.06,6.65,15.70%,73.00,6.35%,6.72,11.93,4.43%,27.00%,52.55 - 81.64,2.78%,1.04,25.59,12.10%,25.60%,-1.78%,0.76,1.30%,2.30,4.50%,32.20%,52.60%,1.53,18000,2.30,-5.90%,9.20%,65.40,1.23% 1.95%,Yes,0.00,-10.40%,7.10%,0.45,80.39,Yes,0.00,Aug 04 BMO,29.70%,1.26M,80.19,3.10,3.55%,5.76%,9.00%,"573,994",-0.25%,2020-07-25 16:25:46.619279
Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,S&P 500,28.62,3.33,1.00%,129.29M,-3.32%,12.07B,30.85,0.78%,-22.01%,125.77M,5.44%,432.70M,4.77,0.73,-,4.26%,7.32%,1.33B,9.08,3.90%,-0.11%,5.69,-14.00%,18.55,5.14,5.10%,100.25,-13.23%,0.74,129.35,6.00%,17.50%,72.70 - 124.46,-9.68%,3.60,47.49,16.10%,8.20%,-23.35%,0.19,3.77%,-,15.10%,71.70%,31.22%,2.32,4048,-,6.70%,48.40%,48.67,2.23% 2.30%,Yes,2.14,12.00%,32.50%,0.85,96.96,Yes,2.14,Aug 04 AMC,107.10%,941.50K,95.40,2.60,-0.37%,0.59%,-5.81%,"802,176",-1.61%,2020-07-25 16:25:46.619279
Exxon Mobil Corporation,Energy,Oil & Gas Integrated,USA,DJIA S&P500,17.43,2.49,0.10%,4.27B,-0.21%,186.84B,29.60,593.30%,1.69%,4.23B,-2.40%,10.64B,1.55,-0.66,54.30%,1.26%,-0.69%,249.07B,0.75,-33.80%,0.05%,2.19,-34.51%,42.64,1.02,3.20%,47.42,-42.04%,2.65,16.37,11.25%,6.00%,30.11 - 76.05,-37.76%,3.48,-,-16.00%,2.30%,-42.89%,1.33,8.01%,0.50,-8.30%,28.80%,44.24%,1.45,74900,0.80,-10.60%,3.20%,46.82,2.75% 3.05%,Yes,0.33,-126.00%,4.60%,0.68,43.70,Yes,0.17,Jul 31 BMO,130.60%,24.27M,43.43,3.10,-0.62%,-4.61%,-21.25%,"16,405,605",-0.62%,2020-07-25 16:25:46.619279
"F5 Networks, Inc.",Technology,Software - Infrastructure,USA,S&P 500,27.14,5.61,0.30%,60.87M,1.95%,9.15B,15.71,6.72%,-18.34%,60.70M,12.84%,340.60M,8.22,2.03,96.90%,4.56%,19.65%,2.31B,3.97,-7.60%,-0.03%,3.12,12.16%,32.83,4.64,9.20%,153.14,3.15%,13.67,11.15,3.30%,18.60%,79.78 - 156.36,9.09%,-,15.43,11.60%,23.00%,-2.57%,1.09,-,1.10,5.30%,83.90%,90.95%,3.91,5325,1.10,7.10%,18.40%,61.64,2.09% 2.71%,Yes,0.20,-48.00%,14.80%,0.76,154.71,Yes,0.19,Jul 27 AMC,0.00%,887.47K,152.34,2.70,6.26%,7.39%,13.99%,"674,616",-1.53%,2020-07-25 16:25:46.619279
"Facebook, Inc.",Communication Services,Internet Content & Information,USA,S&P 500,33.20,6.95,0.66%,2.85B,-4.68%,654.84B,23.66,34.33%,-0.82%,2.39B,-1.41%,20.96B,2.03,1.38,79.80%,1.26%,21.38%,73.36B,8.93,-15.10%,-0.04%,1.18,5.86%,36.94,6.25,16.30%,247.93,14.95%,21.24,10.86,16.37%,21.50%,137.10 - 250.15,12.40%,-,28.25,42.20%,17.40%,-7.77%,1.19,-,4.60,41.50%,81.70%,68.28%,7.88,48268,4.60,17.60%,36.20%,43.15,3.27% 3.76%,Yes,0.00,101.90%,28.60%,0.71,232.60,Yes,0.00,Jul 29 AMC,0.00%,25.63M,230.71,1.80,-2.78%,-0.67%,13.53%,"18,266,157",-0.81%,2020-07-25 16:25:46.619279
Fastenal Company,Industrials,Industrial Distribution,USA,S&P 500,31.52,1.45,0.10%,573.20M,3.48%,25.82B,29.55,7.35%,-36.10%,571.60M,10.64%,833.70M,4.75,0.37,84.30%,3.12%,26.95%,5.53B,4.67,6.60%,0.13%,4.12,28.77%,4.86,9.41,21.30%,42.71,45.48%,0.36,128.14,6.64%,31.20%,26.72 - 46.54,23.79%,1.00,103.74,10.60%,26.70%,-1.72%,1.17,2.19%,1.90,7.40%,46.20%,71.21%,1.05,20667,4.10,10.30%,20.00%,69.03,1.71% 2.43%,Yes,0.15,15.40%,15.10%,0.79,45.77,Yes,0.15,Jul 14 BMO,64.60%,4.32M,45.74,2.70,4.86%,9.15%,23.16%,"3,400,041",-0.07%,2020-07-25 16:25:46.619279
Federal Realty Investment Trust,Real Estate,REIT - Retail,USA,S&P 500,16.15,4.52,0.60%,75.36M,-6.94%,5.59B,26.52,6.34%,-0.26%,74.98M,-11.50%,339.40M,2.41,0.62,97.40%,2.63%,5.39%,935.10M,5.98,53.00%,2.87%,2.23,-43.77%,31.08,2.35,4.90%,97.06,-43.90%,12.98,5.62,6.70%,14.60%,64.11 - 141.35,-43.30%,4.20,67.81,14.40%,8.10%,-48.36%,0.90,5.75%,-,6.40%,67.90%,13.85%,2.92,308,-,-0.30%,49.80%,35.33,3.35% 3.44%,Yes,1.89,-10.30%,36.30%,0.73,73.84,Yes,1.89,Aug 05 AMC,92.30%,883.46K,72.99,2.30,-9.53%,-12.64%,-31.55%,"645,820",-1.15%,2020-07-25 16:25:46.619279
FedEx Corporation,Industrials,Integrated Freight & Logistics,USA,S&P 500,33.74,4.89,5.70%,261.00M,-0.57%,43.15B,13.36,18.98%,-1.41%,241.02M,22.17%,1.28B,3.80,2.38,75.70%,2.53%,34.11%,69.22B,0.62,-83.80%,0.03%,2.23,7.12%,72.15,2.29,0.10%,170.44,-6.16%,6.75,24.43,8.88%,0.40%,88.69 - 178.50,9.15%,2.60,-,-25.20%,12.10%,-7.54%,1.37,1.58%,1.20,8.90%,70.20%,86.09%,4.40,177000,1.20,2.80%,5.40%,67.48,1.69% 2.78%,Yes,1.03,-53.50%,0.10%,0.56,165.99,Yes,1.01,Jun 30 AMC,804.30%,2.73M,165.04,2.20,6.15%,17.75%,16.32%,"1,541,793",-0.57%,2020-07-25 16:25:46.619279
"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,S&P 500,270.11,0.53,0.10%,616.00M,2.30%,87.76B,21.48,22.76%,-53.40%,613.35M,8.62%,165.00M,21.22,1.09,93.00%,1.26%,14.29%,11.35B,7.73,-74.10%,0.05%,2.07,-2.85%,79.82,1.80,0.20%,155.71,8.47%,6.07,23.65,12.73%,0.40%,91.68 - 158.21,3.31%,1.40,57.66,-22.70%,1.20%,-9.17%,0.67,0.97%,1.10,10.00%,35.50%,56.74%,3.23,55000,1.10,49.60%,6.70%,60.92,1.78% 2.14%,Yes,0.41,-94.70%,1.50%,0.65,144.99,Yes,0.39,Aug 04 BMO,258.50%,3.74M,143.70,1.80,4.41%,4.58%,6.30%,"2,425,435",-0.89%,2020-07-25 16:25:46.619279
Fifth Third Bancorp,Financial,Banks - Regional,USA,S&P 500,8.57,2.28,0.40%,713.56M,4.16%,14.21B,9.36,44.43%,1.99%,709.75M,-1.76%,1.67B,-,0.20,82.40%,2.12%,14.14%,6.35B,2.24,9.00%,1.74%,1.85,-32.25%,28.17,0.69,1.00%,22.08,-33.90%,13.80,1.42,-3.09%,8.50%,11.10 - 31.64,-36.43%,1.08,18.38,14.90%,10.60%,-38.24%,1.72,5.53%,-,9.20%,-,76.04%,0.87,19869,-,6.40%,61.80%,51.52,3.70% 4.34%,Yes,0.81,-96.50%,26.40%,0.81,19.41,Yes,0.81,Jul 23 BMO,42.80%,8.16M,19.54,2.20,4.02%,-0.30%,-17.85%,"6,629,626",0.70%,2020-07-25 16:25:46.619279
FirstEnergy Corp.,Utilities,Utilities - Diversified,USA,S&P 500,27.68,1.07,0.20%,541.00M,-30.04%,15.65B,11.19,6.17%,0.00%,539.66M,-21.97%,572.00M,-,0.55,85.50%,1.15%,-30.34%,10.86B,1.44,20.80%,-0.03%,0.85,-41.59%,12.60,2.34,1.60%,49.25,-32.80%,0.29,102.95,-2.40%,9.40%,22.85 - 52.51,-39.34%,1.56,-,26.80%,5.80%,-43.86%,0.45,5.29%,0.50,-6.00%,73.90%,29.02%,2.25,12316,0.50,-6.00%,12.10%,28.23,14.20% 5.14%,Yes,3.22,-93.30%,6.10%,5.23,27.40,Yes,3.06,Jul 23 AMC,123.10%,7.33M,29.48,1.90,-23.38%,-26.29%,-33.92%,"38,368,366",7.59%,2020-07-25 16:25:46.619279
First Republic Bank,Financial,Banks - Regional,USA,S&P 500,21.68,5.30,0.40%,170.84M,2.43%,19.75B,20.25,4.57%,0.00%,169.52M,8.76%,905.30M,2.78,1.38,-,2.29%,14.76%,3.75B,5.27,8.10%,0.15%,3.73,0.94%,53.94,2.13,0.80%,110.71,16.37%,29.51,3.89,7.80%,10.20%,70.06 - 125.12,-2.24%,0.80,30.74,11.10%,25.00%,-8.23%,1.17,0.70%,-,19.30%,-,63.89%,2.86,4893,-,12.90%,72.10%,61.92,1.65% 2.62%,Yes,0.19,-5.30%,23.50%,0.42,115.12,Yes,0.19,Jul 14 BMO,14.30%,1.04M,114.82,2.50,6.38%,6.77%,8.28%,"433,353",-0.26%,2020-07-25 16:25:46.619279
"Fiserv, Inc.",Technology,Information Technology Services,USA,S&P 500,55.54,1.81,0.60%,678.10M,-1.92%,65.26B,18.86,21.52%,-12.51%,555.50M,4.16%,1.06B,3.23,0.93,95.80%,2.45%,4.51%,12.45B,5.24,-41.40%,0.03%,2.89,-16.72%,46.96,2.14,1.70%,122.25,4.43%,1.38,72.83,17.22%,4.20%,73.50 - 125.05,-12.97%,-,26.73,2.80%,2.50%,-19.53%,0.82,-,1.10,15.00%,46.80%,36.91%,2.70,44000,1.10,150.90%,15.10%,50.81,1.93% 2.63%,Yes,0.69,0.60%,8.50%,0.44,102.19,Yes,0.68,Aug 05 AMC,0.00%,4.71M,100.63,1.90,2.19%,-1.04%,-5.79%,"2,085,502",-1.53%,2020-07-25 16:25:46.619279
"FLEETCOR Technologies, Inc.",Technology,Information Technology Services,USA,S&P 500,26.69,9.67,1.90%,84.90M,-0.38%,21.73B,19.69,17.60%,-11.01%,82.15M,4.74%,870.00M,2.93,2.23,95.50%,3.77%,15.93%,2.69B,8.08,9.50%,-0.25%,3.96,-19.51%,32.93,7.84,7.30%,284.24,-9.60%,12.72,20.30,9.10%,24.40%,168.51 - 329.85,-10.30%,-,18.02,18.60%,12.00%,-21.76%,1.49,-,0.90,17.20%,-,53.15%,7.66,8700,0.90,6.30%,42.70%,52.52,2.12% 2.94%,Yes,1.85,-13.50%,32.40%,0.54,259.34,Yes,1.16,Aug 06 AMC,0.00%,781.79K,258.08,2.20,1.54%,2.11%,-3.72%,"419,605",-0.49%,2020-07-25 16:25:46.619279
"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,USA,S&P 500,44.58,0.92,1.00%,133.60M,-1.06%,5.53B,17.90,10.47%,-3.28%,129.62M,5.21%,125.30M,17.15,0.51,95.30%,1.73%,3.30%,1.89B,2.92,-37.70%,-0.11%,1.15,-24.53%,12.76,3.21,3.90%,48.00,-18.39%,2.29,17.92,2.60%,6.80%,23.85 - 59.44,-21.32%,0.68,24.49,-2.10%,8.00%,-31.07%,1.57,1.66%,1.20,4.30%,48.30%,71.78%,1.30,4265,1.90,1.40%,11.70%,47.81,2.25% 3.16%,Yes,0.49,-74.60%,6.60%,0.34,41.89,Yes,0.37,Aug 06 BMO,73.20%,1.95M,40.97,2.30,0.31%,-4.06%,-12.06%,"657,697",-2.20%,2020-07-25 16:25:46.619279
Flowserve Corporation,Industrials,Specialty Industrial Machinery,USA,S&P 500,20.40,1.49,0.20%,130.73M,2.81%,4.01B,20.31,4.70%,-0.65%,129.81M,17.52%,195.80M,4.29,0.28,-,2.66%,18.76%,3.95B,1.01,121.80%,1.83%,2.28,-37.17%,12.69,2.39,4.10%,27.75,-41.68%,4.71,6.44,4.76%,11.30%,18.98 - 52.84,-39.08%,0.80,27.07,-12.40%,10.30%,-42.62%,1.82,2.64%,1.60,-4.20%,32.60%,59.75%,1.18,17000,2.20,0.50%,8.60%,57.14,3.11% 3.88%,Yes,0.82,-101.10%,5.00%,0.41,30.45,Yes,0.82,May 07 AMC,50.90%,1.51M,30.32,2.90,5.64%,8.79%,-19.02%,"620,631",-0.43%,2020-07-25 16:25:46.619279
FMC Corporation,Basic Materials,Agricultural Inputs,USA,S&P 500,25.74,4.17,0.50%,129.53M,0.82%,13.86B,14.80,14.09%,-23.28%,128.45M,11.08%,547.50M,2.65,1.66,94.70%,1.28%,21.70%,4.67B,2.97,3.70%,0.53%,2.17,12.19%,20.66,5.20,4.70%,112.74,25.93%,3.38,31.77,9.71%,17.60%,56.77 - 108.77,7.53%,1.76,104.18,13.40%,12.30%,-1.31%,1.26,1.64%,1.40,7.20%,45.00%,89.08%,2.64,6400,1.80,4.90%,17.80%,61.94,1.67% 2.66%,Yes,1.41,6.20%,10.00%,0.56,107.80,Yes,1.32,Aug 04 AMC,45.70%,759.31K,107.34,1.90,4.88%,8.14%,14.43%,"428,420",-0.43%,2020-07-25 16:25:46.619279
